ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
20134,"RICE NOODLES,COOKED",109,0.91,0.2,24.9,19,0.023,0,,4,0.14,4,0,,0
20137,"QUINOA,CKD",120,4.4,1.92,21.3,7,,0,,17,1.49,172,0,0.63,
20138,"KAMUT,UNCKD",337,14.7,2.2,70.38,6,0.192,,8.19,24,4.41,446,,0.6,
20139,"KAMUT,CKD",146,6.45,0.91,30.46,6,,0,,10,2.01,202,,,
20140,"SPELT,UNCKD",338,14.57,2.43,70.19,8,0.406,0,6.82,27,4.44,388,0,0.79,
20141,"SPELT,CKD",127,5.5,0.85,26.44,5,,0,,10,1.67,143,0,0.26,
20142,"TEFF,UNCKD",367,13.3,2.38,73.13,12,0.449,,1.84,180,7.63,427,,0.08,
20143,"TEFF,CKD",101,3.87,0.65,19.86,8,,0,,49,2.05,107,,,
20301,"MACARONI,PROTEIN-FORTIFIED,DRY,ENR,(N X 6.25)",374,21.78,2.23,65.65,8,0.328,0,,39,4.15,201,0,,0
20302,"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 6.25)",164,8.86,0.21,30.88,5,0.032,0,,10,0.72,42,0,,0
20310,"NOODLES,EGG,CKD,ENR,W/ SALT",138,4.54,2.07,25.16,165,0.419,29,0.4,12,1.47,38,0,0.17,
20315,"CORN FLR,WHOLE-GRAIN,BLUE (HARINA DE MAIZ MORADO)",364,8.75,5.09,73.89,5,,,,5,1.74,381,,,
20316,"CORN FLR,WHOLE-GRAIN,WHITE",361,6.93,3.86,76.85,5,0.543,0,0.64,7,2.38,315,0,0.42,0
20317,"CORN FLR,MASA,ENR,YEL",365,9.28,3.86,76.29,5,0.532,0,,136,7.49,263,0,,0
20320,"CORNMEAL,WHOLE-GRAIN,WHITE",362,8.12,3.59,76.89,35,0.505,0,0.64,6,3.45,287,0,0.42,0
20321,"SPAGHETTI,CKD,ENR,W/ SALT",157,5.8,0.93,30.59,131,0.176,0,0.56,7,1.28,44,0,0.06,0
20322,"CORNMEAL,DEGERMED,ENR,WHITE",370,7.11,1.75,79.45,7,0.169,0,1.61,3,4.36,142,0,0.12,0
20323,"CORNMEAL,SELF-RISING,BOLTED,PLN,ENR,WHITE",334,8.28,3.4,70.28,1247,0.478,0,,361,5.76,255,0,,0
20324,"CORNMEAL,SELF-RISING,BOLTED,W/WHEAT FLR,ENR,WHITE",348,8.41,2.85,73.43,1319,0.4,0,,299,4.95,207,0,,0
20325,"CORNMEAL,SELF-RISING,DEGERMED,ENR,WHITE",355,8.41,1.72,74.79,1348,0.234,0,,350,4.73,170,0,,0
20330,"HOMINY,CANNED,YELLOW",72,1.48,0.88,14.26,210,0.123,0,,10,0.62,9,0,,0
20345,"RICE,WHITE,LONG-GRAIN,REG,CKD,ENR,W/SALT",130,2.69,0.28,28.17,382,0.077,0,0.05,10,1.2,35,0,0.04,0
20381,"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,CALCIUM-FORTIFIED",364,10.33,0.98,76.31,2,0.155,0,,252,4.64,107,0,0.06,0
20400,"MACARONI,CKD,UNENR",158,5.8,0.93,30.86,1,0.176,0,0.56,7,0.5,44,0,0.06,0
20409,"NOODLES,EGG,DRY,UNENR",384,14.16,4.44,71.27,21,1.18,84,1.88,35,1.9,244,0,0.37,0.3
20410,"NOODLES,EGG,CKD,UNENR,WO/ SALT",138,4.54,2.07,25.16,5,0.419,29,0.4,12,0.6,38,0,0.17,0.1
20420,"SPAGHETTI,DRY,UNENRICHED",371,13.04,1.51,74.67,6,0.277,0,2.67,21,1.3,223,0,0.11,0
20421,"SPAGHETTI,CKD,UNENR,WO/ SALT",158,5.8,0.93,30.86,1,0.176,0,0.56,7,1.28,44,0,0.06,0
20422,"CORNMEAL,DEGERMED,UNENR,YEL",370,7.11,1.75,79.45,7,0.169,0,1.61,3,1.1,142,0,0.12,0
20444,"RICE,WHITE,LONG-GRAIN,REG,RAW,UNENR",365,7.13,0.66,79.95,5,0.18,0,0.12,28,0.8,115,0,0.11,0
20445,"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,WO/SALT",130,2.69,0.28,28.17,1,0.077,0,0.05,10,0.2,35,0,0.04,0
20446,"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,DRY",374,7.51,1.03,80.89,2,0.294,0,0.33,71,0.74,174,0,0.03,0
20447,"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,CKD",123,2.91,0.37,26.05,2,0.074,0,0.11,19,0.24,56,0,0.01,0
20450,"RICE,WHITE,MEDIUM-GRAIN,RAW,UNENR",360,6.61,0.58,79.34,1,0.158,0,,9,0.8,86,0,,0
20451,"RICE,WHITE,MEDIUM-GRAIN,CKD,UNENR",130,2.38,0.21,28.59,0,0.057,0,,3,0.2,29,0,,0
20452,"RICE,WHITE,SHORT-GRAIN,RAW,UNENR",358,6.5,0.52,79.15,1,0.14,0,,3,0.8,76,0,,0
20453,"RICE,WHITE,SHORT-GRAIN,CKD,UNENR",130,2.36,0.19,28.73,0,0.051,0,,1,0.2,26,0,,0
20466,"SEMOLINA,UNENRICHED",360,12.68,1.05,72.83,1,0.15,0,,17,1.23,186,0,,0
20481,"WHEAT FLR,WHITE,ALL-PURPOSE,UNENR",364,10.33,0.98,76.31,2,0.155,0,0.27,15,1.17,107,0,0.06,0
20499,"MACARONI,DRY,UNENRICHED",371,13.04,1.51,74.67,6,0.277,0,2.67,21,1.3,223,0,0.11,
20510,"NOODLES,EGG,CKD,UNENR,W/ SALT",138,4.54,2.07,25.16,165,0.419,29,0.4,12,0.6,38,0,0.17,
20521,"SPAGHETTI,CKD,UNENR,W/ SALT",157,5.8,0.93,30.59,131,0.176,0,0.56,7,0.5,44,0,0.06,0
20522,"CORNMEAL,DEGERMED,UNENR,WHITE",370,7.11,1.75,79.45,7,0.169,0,1.61,3,1.1,142,0,0.12,0
20523,"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 6.25)",164,8.86,0.21,30.88,5,0.032,0,,10,0.72,42,0,,0
20545,"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,W/SALT",130,2.69,0.28,28.17,382,0.077,0,0.05,10,0.2,35,0,0.04,0
20581,"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,UNBLEACHED",364,10.33,0.98,76.31,2,0.155,0,0.27,15,4.64,107,0,0.23,0
20622,"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 6.25)",374,21.78,2.23,65.65,8,0.328,0,,39,4.15,201,0,,0
20623,"WHEAT FLR,WHITE (INDUSTRIAL),9% PROT,BLEACHED,ENR",367,8.89,1.43,77.32,2,0.34,0,0.54,20,5.06,131,0,0.05,0
20624,"WHEAT FLR,WHITE (INDUSTRIAL),9% PROT,BLEACHED,UNENR",367,8.89,1.43,77.32,2,0.34,0,0.54,20,1.26,131,0,0.05,0
20628,"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,BLEACHED,ENR",366,9.71,1.48,76.22,2,0.302,0,0.49,20,5.06,149,0,0.05,0
20629,"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,BLEACHED,UNENR",366,9.71,1.48,76.22,2,0.302,0,0.49,20,1.26,149,0,0.05,0
20630,"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,UNBLEACHED,ENR",366,9.71,1.48,76.22,2,0.302,,0.49,20,5.06,149,0,0.38,0
20634,"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,BLEACHED,ENR",363,11.5,1.45,73.81,2,0.268,0,1.12,20,5.06,138,0,0.05,0
20635,"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,BLEACHED,UNENR",363,11.5,1.45,73.81,2,0.268,0,1.12,20,1.26,138,0,0.05,0
20636,"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,UNBLEACHED,ENR",363,11.5,1.45,73.81,2,0.268,,1.12,20,5.06,138,0,0.38,0
20640,"WHEAT FLR,WHITE (INDUSTRIAL),13% PROT,BLEACHED,ENR",362,13.07,1.38,72.2,2,0.189,0,1.1,24,5.06,128,0,0.05,0
20641,"WHEAT FLR,WHITE (INDUSTRIAL),13% PROT,BLEACHED,UNENR",362,13.07,1.38,72.2,2,0.189,0,1.1,24,1.26,128,0,0.05,0
20645,"WHEAT FLR,WHITE (INDUSTRIAL),15% PROT,BLEACHED,ENR",362,15.33,1.41,69.88,2,0.272,0,0.92,17,5.06,120,0,0.05,0
20646,"WHEAT FLR,WHITE (INDUSTRIAL),15% PROT,BLEACHED,UNENR",362,15.33,1.41,69.88,2,0.272,0,0.92,17,1.26,120,0,0.05,0
20647,MILLET FLR,373,10.75,4.25,73.05,4,0.536,,1.66,14,3.94,224,0,0.11,
20648,SORGHUM FLR,361,7.87,3.29,77.47,4,0.475,,1.87,12,2.99,311,0,0.5,
20649,"WHEAT FLR,WHOLE-GRAIN,SOFT WHEAT",332,9.61,1.95,74.48,3,0.43,0,1.02,33,3.71,394,0,0.53,0
21005,"BREAKFAST ITEMS,BISCUIT W/EGG&SAUSAGE",312,11.13,20.77,21.05,672,6.449,161,0.95,51,1.9,149,0,0.95,0.5
21046,"ENTREES,CRAB CAKE",266,18.75,17.25,8.52,819,3.74,137,,337,1.86,270,0.3,,
21047,"ENTREES,FISH FILLET,BATTERED OR BREADED,&FRIED",232,14.66,12.29,16.97,532,2.82,34,,18,2.11,320,0,,
21088,TOSTADA WITH GUACAMOLE,138,4.78,8.91,12.27,306,3.78,15,,162,0.62,249,1.4,,
21138,"FST FOODS, POTATO, FRNCH FRIED IN VEG OIL",314,3.76,16.12,38.44,290,2.084,0,0.69,13,1.37,550,2.7,0.78,0
21140,"SIDE DISHES,POTATO SALAD",114,1.53,6.03,13.53,328,1.03,60,,14,0.73,270,1.1,,
21390,"FT FDS, HAMBRGER; SIN, LRG PATTY; W/ CONDMNTS, VEG, MAYO",226,11.34,12.37,17.33,342,3.972,33,4,46,2.99,188,0.9,0.15,0.1
21412,"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ MILK CHOC CANDIES",182,4.02,6.46,26.82,54,3.633,16,24.37,135,0.27,208,0.9,0.08,0
21413,"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ COOKIE PIECES",169,3.97,5.66,25.55,75,2.754,15,21.19,129,0.61,198,0.8,0.09,0
21424,"K FRIED CHICK,FRIED CHICK,ORIGINAL RECIPE,SKN & BREAD",388,13,29.47,17.63,860,6.495,70,0,59,0.79,199,,,
21461,"GRILLED CHICK,BACON & TOMO CLB SNDWCH,W/ CHS,LETTUCE,& MAYO",220,17.19,8.05,19.87,630,3.109,46,4.68,95,1.37,226,4.4,0.61,0.1
21462,"CRISPY CHICK,BACON,& TOMATO CLUB SNDWCH,W/ CHS,LETUCE,& MAYO",257,15.38,11.76,22.61,605,3.372,38,4.99,92,1.32,256,3.8,0.5,0.2
21463,"YOGURT PARFAIT,LOWFAT,W/ FRUIT & GRANOLA",84,3.36,1.01,15.86,49,0.525,3,11.68,105,0.49,189,14.3,0.25,0.1
21489,"SALAD,GRAPE & APPL W/ YOGURT & CANDIED WALNUTS",117,2.15,5.05,15.73,33,0.665,1,12.43,43,0.33,162,4.8,0.14,0
21499,"KASHI PIZZA,RSTD VEG",224,12.5,8.4,24.5,546,3.3,16,2.9,176,1.3,181,12,,
21500,"KASHI PIZZA,MUSHROOM TRIO & SPINACH",222,12.7,8.3,24.6,587,4,23,2.3,182,1.3,167,4.8,,
21501,"KASHI PIZZA,MARGHERITA",230,12.8,8.4,25.7,560,3.5,17,3.3,192,1.4,204,8,,
21502,"KASHI PIZZA,BASIL PESTO",212,12.2,7.7,24.2,525,3.1,12,2.1,178,1.3,127,5,0,
21503,"KASHI PIZZA,MEDITERRANEAN",231,12.7,7.5,31,531,3.2,12,2.8,138,1.1,168,12,,
22118,"MORNINGSTAR FARMS GARDEN VEGGIE PATTIES,FRZ,UNPREP",176,17.8,5.6,13.7,525,0.8,2,1.8,59,2.2,210,1.1,,
22120,"MORNINGSTAR FARMS GRILLERS BURGER STYLE REC CRMBL,FRZ,UNPREP",140,17.8,4.3,8.3,427,0.5,0,1.1,33,5.2,189,0,,
22121,"MORNINGSTAR FARMS GRILLERS VEGAN,FRZ,UNPREP",132,16.3,3.4,9.1,395,0.5,0,0.4,37,2.9,498,0,,
22122,"MORNINGSTAR FARMS VEGGIE BRKFST SAUSAGE PATTIES,FRZ,UNPREP",210,25.8,7.9,8.8,671,1.1,2,1.7,44,4.5,328,0,,
22123,"MORNINGSTAR FARMS SPICY BLACK BEAN BURGER,FRZ,UNPREP",171,16.1,5.7,19.7,520,0.8,1,2.8,103,2.2,380,1,,
22125,"GREEN GIANT,HARVEST BURGER,ORIG FLAV,ALL VEG PROT PATTY,FRZ",153,20,4.6,7.8,457,1.13,0,,113,4.28,480,0,,
22126,"LOMA LINDA BIG FRANKS,CND,UNPREP",218,21.5,12.1,5.8,426,1.6,0,0.4,17,2.5,116,0,,
22247,"MACARONI & CHS,CND ENTREE",82,3.38,2.46,11.52,302,0.881,6,0.5,35,0.9,84,0,0.05,0
22401,"SPAGHETTI W/ MEAT SAU,FRZ ENTREE",90,5.05,1.01,15.24,212,0.35,6,2.6,18,1.25,144,5.4,0.5,0
22522,"PASTA W/SLICED FRANKS IN TOMATO SAU,CND ENTREE",90,4.37,2.38,12.7,238,0.992,9,3.17,60,0.91,191,3.8,0.74,0.4
22528,"TURKEY POT PIE,FRZ ENTREE",176,6.5,8.8,17.7,350,2.88,16,,,1,,,,
22529,"BEEF POT PIE,FRZ ENTREE,PREP",220,7.25,11.39,22.05,365,4.149,21,,14,1.25,115,0.3,0.26,
22535,"HOT POCKETS,CROISSANT POCKTS CHIK,BROC&CHDR STUFD SNDWCH,FRZ",235,8.9,8.6,30.4,346,2.62,29,7.6,152,2.97,188,4.9,0.29,0.2
22537,"HOT POCKETS HAM 'N CHS STUFFED SNDWCH,FRZ",241,9.16,9.14,30.55,504,3.545,23,7.6,152,2,188,0.1,0.29,0.2
22899,"RAVIOLI,CHEESE-FILLED,CND",79,2.48,1.45,13.64,306,0.723,3,3.72,33,0.74,232,0,0.85,0
22900,"RAVIOLI,MEAT-FILLED,W/ TOMATO SAU OR MEAT SAU,CND",99,3.41,3.41,13.73,354,1.427,5,2.4,13,1.05,169,0,0.55,0
22901,"TORTELLINI,PASTA W/ CHS FILLING,FRESH-REFRIGERATED",307,13.5,7.23,47,616,3.6,42,0.95,152,1.5,89,0,0.16,0
22904,"CHILI CON CARNE W/BNS,CND ENTREE",107,5.8,3.47,13.1,449,1.253,9,1.87,33,1.34,264,0.2,0.5,0
22905,"BEEF STEW,CANNED ENTREE",99,4.41,5.53,7.85,388,2.185,13,1.76,12,2.48,163,0.7,0.27,0
22906,"CHICKEN POT PIE,FRZ ENTREE,PREP",214,6.08,10.83,23.03,380,3.613,24,3.81,29,1.1,124,0.3,0.16,0.1
22907,"PASTA W/MEATBALLS IN TOMATO SAU,CND ENTREE",107,4.17,5.1,11.11,291,1.98,9,2.83,12,1.31,141,3,0.77,0.2
22908,"BEEF,CORNED BF HASH,W/ POTATO,CND",164,8.73,10.24,9.27,412,4.32,32,0.34,19,1,172,0.9,0.04,0
22910,"LASAGNA,CHS,FRZ,PREP",130,6.54,5.33,13.84,284,2.11,13,4.23,111,1.27,182,17.1,0.88,
22911,"CHILI,NO BNS,CND ENTREE",118,7.53,7.1,6.1,389,2.255,21,,30,2.01,185,1.8,,
22912,"SPAGHETTI,W/ MEATBALLS,CND",107,4.17,5.1,11.11,406,1.98,9,,12,1.31,141,,,
22914,"PASTA W/ TOMATO SAU,NO MEAT,CND",70,2.22,0.44,14.22,272,0.136,1,4,13,0.91,192,0,0.62,0
22915,"LASAGNA W/ MEAT & SAU,LOW-FAT,FRZ ENTREE",101,6.81,2.23,13.5,181,0.967,7,,108,0.97,150,17.9,,
22916,"LASAGNA W/ MEAT & SAU,FRZ ENTREE",127,8.26,4.73,12.87,280,2.245,15,2.13,102,0.85,158,21.5,,
22919,"MACARONI & CHS,CND,MICROWAVABLE",134,5.98,5.99,13.96,335,3.398,20,1.41,57,0.91,72,0,,
22929,"CAMPBELL,SPAGHETTIOS,MINI BF RAVIOLI IN MEAT SAU",99,4.25,1.74,16.6,409,0.772,4,5.41,15,0.69,,0.5,,0
22930,"CAMPBELL,SPAGHETTIOS,SPAGHETTI IN TOMATO & CHS SAU",80,2.78,0.6,15.87,377,0.198,2,5.16,8,0.29,,0,,0
22931,"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS ORIGINAL",67,2.38,0.4,13.89,238,0.198,2,4.37,8,0.71,179,1,0,0
22932,"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS A TO Z'S",67,2.38,0.4,13.89,238,0.198,2,4.76,60,0.71,179,1,0,0.4
22937,"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS IN MEAT SAU",69,3.17,0.79,12.3,353,0.397,4,4.76,60,1.43,,0,,0.4
22938,"CAMPBELL ,SPAGHETTIOS,SPAGHETTIOS PLUS CA",67,2.38,0.4,13.89,238,0.198,2,5.16,119,0.71,119,1,0,1
22939,"CAMPBELL ,SPAGHETTIOS RAVIOLIOS BF RAVIOLI IN MEAT SAU",106,4.37,3.17,15.08,433,1.389,8,3.57,16,0.71,,0,,0.4
22940,"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIO'S W/ MEATBALLS",95,4.37,2.78,12.7,238,0.992,8,3.17,60,1.43,282,2.4,,0.4
22941,"CAMPBELL ,SPAGHETTIOS,SPAGHETTIO'S W/ SLICED FRANKS",87,3.57,2.38,12.7,238,0.992,8,3.57,60,1.07,333,2.4,0,0.4
22942,"CAMPBELL,SPAGHETTIOS,SPAGHETTIOS A TO Z'S W/ MEATBALLS",95,4.37,2.78,12.7,238,0.992,8,3.17,60,0.43,282,2.4,0,0.4
22943,"SUPPER BAKES MEAL,CHEESY CHICK W/ PASTA (CHICK NOT INCLUDED)",198,7.06,4.71,31.76,988,1.176,6,4.71,,,,,,
22944,"SUPPER BAKES MEAL KITS,CREAMY STROGANOFF SAU W/ PASTA",147,4.8,3.2,24.8,520,1.2,8,2.4,,,,,,
22945,"SUPPER BAKES MEAL KITS,GARLIC CHICK W/ PASTA",220,9.76,0.98,42.93,741,0.488,5,6.83,,,,,,
22946,"CAMPBELL, SUPPER BAKES MEAL KITS,HERB CHICK W/ RICE",197,4.26,1.06,42.55,830,0.532,5,2.13,,,,0,,
22947,"CAMPBELL SUPPER BAKES MEAL KITS,LEMON CHICK W/ HERB RICE",210,4.26,1.06,45.74,830,0.532,5,3.19,,,,,,
22948,"CAMPBELL,SUPPER MEAL KITS,SAVORY PORK CHOPS W/ HERB STUFFING",181,5.91,1.18,36.64,922,0.591,6,4.73,,,,,,
22949,"SUPPER BAKES MEAL KITS,SOUTHWESTERN-STYLE CHICK W/RICE",189,4.94,1.23,39.51,741,0.617,6,4.94,,,,,,
22950,"SUPPER BAKES MEAL,CHICK W/ STUFFING (CHICK NOT INCLUDED)",190,5.94,3.56,34.44,879,1.188,6,3.56,,,,,,
22951,"CAMPBELL SOUP COMPANY,SWANSON,CHICK A LA KING",71,4.7,4.03,4.03,460,1.174,7,0.67,0,0,,0,,
22952,"CAMPBELL SOUP COMPANY,SWANSON,CHICK & DUMPLINGS",93,4.45,4.05,9.72,401,1.822,14,0.81,16,0.29,,0,,
22953,"EGG ROLLS,PORK,REFR,HTD",222,9.94,7.17,29.5,525,1.588,14,5.32,34,1.55,212,29.3,0.27,0.1
22954,"EGG ROLLS,CHICK,REFR,HTD",197,10.44,4.51,28.54,560,0.964,14,5.57,47,1.69,281,11.2,0.37,0
22955,"EGG ROLLS,VEG,REFR,HTD",196,6.62,4.67,31.99,561,0.756,0,6.85,46,1.95,250,13.7,0.54,0
22956,"LASAGNA,VEG,FRZ,BKD",139,6.87,6.04,14.18,352,2.422,14,2.54,150,0.55,170,1.1,0.46,0
22957,"TKY,STUFFING,MSHD POTATO W/GRAVY,ASSORTED VEG,FRZ,MICROWAVE",128,6.97,3.89,16.32,326,0.877,14,4.82,27,0.79,230,0.8,0.24,0.1
22958,"RICE BOWL W/ CHICK,FRZ ENTREE,PREP",126,5.65,1.56,22.46,333,0.327,16,4.07,13,0.35,123,3,0.23,0
22959,"MACARONI & CHS DINNER W/ DRY SAU MIX,BOXED,UNCKD",368,14.97,3.42,69.21,682,1.151,7,9.61,114,3.18,394,0.7,0.13,0
22960,"MACARONI & CHS DINNER W/ DRY SAU MIX,BOXED,PREP",173,6.07,5.77,24.31,336,1.176,4,5.47,72,1.3,126,0,0.52,
22961,"HOT POCKETS,MEATBALLS & MOZZARELLA STUFFED SNDWCH,FRZ",253,9.32,10.47,30.45,448,4.007,20,7.73,181,2.08,204,0.6,0.69,0.2
22962,"LEAN POCKETS,HAM N CHEDDAR",230,10.28,6.53,32.52,494,2.389,20,7.6,196,2.15,203,0.1,0.29,0.2
22963,"LEAN POCKETS,MEATBALLS & MOZZARELLA",240,10.49,7.7,32.28,557,3.087,20,8.81,196,2.06,221,,,
22965,"CAMPBELL SOUP COMPANY,SPAGHETTIOS ORIGINAL,EASY OPEN",70,2.35,0.47,14.55,225,0.235,2,4.23,9,0.85,178,0,0,
22966,"CAMPBELL SOUP COMPANY,SPAGHETTIOS,W/ MEATBALLS -",87,4.37,2.43,11.65,238,0.971,10,3.4,49,1.75,248,2.9,0,0.5
22969,"CHILI W/ BNS,MICROWAVABLE BOWLS",100,5.85,3.68,10.88,385,1.372,10,1.84,34,1.13,245,0.8,0.64,0
22970,"MACARONI & CHS,FRZ ENTREE",149,5.6,6.41,17.28,290,2.608,10,1.53,114,0.57,95,0,0.25,0
22971,POTATO SALAD W/ EGG,157,1.96,9.4,16.18,329,1.437,17,4.95,15,0.5,242,0.8,0.68,0.1
22972,PULLED PORK IN BARBECUE SAU,168,13.19,4.42,18.74,666,1.416,35,15.2,44,1.24,305,0.2,0.89,0.2
22973,"CORN DOGS,FRZ,PREP",267,7.93,12.95,29.71,628,3.794,36,8.82,56,1.86,136,0.5,0.46,0.4
22974,"CHICKEN,NUGGETS,DK & WHITE MEAT,PRECKD,FRZ,NOT REHTD",260,12.48,16.13,16.32,563,3.179,31,0.8,18,0.82,219,0,1.18,0.3
22975,"CHICKEN,NUGGETS,WHITE MEAT,PRECKD,FRZ,NOT REHTD",257,13.17,15.65,15.88,583,3.366,34,1.27,29,1.09,249,0,1.18,
22976,"RAVIOLI,CHS W/ TOMATO SAU,FRZ,NOT PREP,INCL REG & LT ENTREES",111,4.52,2.61,17.31,280,1.191,11,4.09,79,0.93,233,2.8,0.98,0.1
23000,"BEEF,SHLDR POT RST OR STK,BNLS,LN & FAT,0"" FAT,ALL GRDS,R",130,21.39,4.97,0,72,2.033,66,0,12,2.62,395,0,0.18,0
23001,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,ALL GRDS,RAW",247,18.8,18.51,0,53,7.42,64,0,6,1.96,299,0,,
23002,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",297,23.51,21.83,0,64,8.42,71,0,8,2.74,321,0,,
23003,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,SEL,RAW",222,20.72,14.82,0,54,6.01,56,0,6,2.01,309,0,,
23004,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,SEL,CKD,BRLD",294,24.05,21.18,0,64,8.34,65,0,8,2.72,320,0,,
23005,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,RAW",220,19.19,15.32,0,54,6.14,57,0,6,2.12,311,0,,
23006,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",280,24.33,19.47,0,66,7.56,62,0,8,2.83,336,0,,
23007,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,SEL,RAW",192,19.89,11.84,0,55,4.81,45,0,6,2.16,319,0,,
23008,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,SEL,CKD,BRLD",265,25.01,17.54,0,66,6.91,57,0,8,2.88,342,0,,
23030,"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",133,21.41,4.66,0,62,1.755,61,0,5,2.14,378,0,0.17,
23031,"BF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,CH,CKD,GRILLED",174,28.79,5.71,0,55,2.218,82,0,5,2.67,365,0,0.2,
23032,"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT 0"" FAT,SEL,RAW",124,21.96,3.24,0,57,1.225,61,0,5,2.38,386,0,0.17,
23033,"BF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,SE,CKD,GRILLED",160,29.24,3.91,0,52,1.267,78,0,5,2.98,365,0,0.19,
23034,"BF,CHK,CLOD,SHLDR TENDER,MEDALLION,LN & FAT,0"" FAT,CHOIC,RAW",145,20.51,6.36,0,59,2.328,56,0,5,2.01,339,0,0.09,
23035,"BF,CHK,CLOD,SHDR TNDR,MED,LN & FAT,0"" FAT,CH,CKD,GRILLED",181,26.07,7.68,0,60,2.737,76,0,5,2.58,361,0,0.17,
23036,"BF,CHK,CLOD,SHLDR TENDER,MEDALLION,LN & FAT,0"" FAT,SEL,RAW",142,20.93,5.79,0,60,1.988,58,0,5,2.39,366,0,0.09,
23037,"BEEF,CHUCK,SHLDR CLOD,TOP & CNTR ,STK,LN & FAT,0"" FAT,CH,RAW",143,20.39,6.12,0,61,2.083,57,0,4,2.14,347,0,0.18,
23038,"BF,CHK,SHLDR CLOD,TOP & CNTR,STK,LN & FAT,0"" FAT,CH,CKD,GRLD",184,26.07,8.11,0,59,3.031,74,0,5,2.57,342,0,0.18,
23039,"BF,CHUCK,SHLDR CLOD, TOP & CNTR,STK,LN & FAT,0"" FAT,SEL,RAW",140,21.13,5.51,0,58,1.791,58,0,4,2.64,370,0,0.18,
23040,"BF,CHK, CLOD,TOP & CNTR,STK,LN & FAT,0"" FAT,SEL,CKD,GRLD",176,26.66,6.94,0,62,2.235,77,0,5,3.23,401,0,0.18,
23041,"BF,CHK,SHLDR CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",182,18.75,11.33,0,74,4.186,65,0,5,2.23,302,0,0.17,
23042,"BF,CHK,CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,CH,CKD,GRILLED",228,24.7,13.59,0,78,5.432,83,0,6,2.78,317,0,0.14,
23043,"BF,CHUCK,SHLDR CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,SEL,RAW",166,19.38,9.22,0,75,3.464,66,0,6,2.62,324,0,0.16,
23044,"BF,CHK,CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,SEL,CKD,GRILLED",212,25.29,11.52,0,76,4.423,83,0,6,3.1,333,0,0.14,
23045,"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",150,20.74,6.85,0,54,2.3,58,0,5,1.94,365,0,0.21,
23046,"BF,RND,KNUCKLE,TIP CNTR,STK,LN & FAT,0"" FAT,CHOIC,CKD,GRLD",188,26.88,8.13,0,51,2.759,75,0,5,2.51,373,0,0.2,
23047,"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,SEL,RAW",137,20.98,5.21,0,53,1.89,59,0,5,2.01,360,0,0.2,
